Date,Deep,Light,REM,Awake
2/1/2023,58,262,112,63
2/2/2023,80,224,110,45
2/3/2023,48,254,67,66
2/4/2023,54,280,86,54
2/5/2023,36,241,83,52
2/6/2023,77,249,94,58
2/7/2023,61,284,83,60
2/8/2023,95,228,118,46
2/9/2023,81,188,91,104
2/10/2023,77,262,119,37
2/11/2023,35,271,104,52
2/12/2023,84,260,73,79
2/13/2023,110,206,95,56
2/14/2023,71,226,62,89
2/15/2023,51,237,107,70
2/16/2023,75,260,85,50
2/17/2023,51,245,109,61
2/18/2023,71,229,80,47
2/19/2023,89,264,105,91
2/20/2023,96,183,90,76
2/21/2023,58,225,105,58
2/22/2023,64,229,107,45
2/23/2023,51,220,87,54
2/24/2023,83,193,110,40
2/25/2023,131,325,102,61
2/26/2023,18,98,61,32
2/27/2023,52,284,120,63
2/28/2023,80,189,92,48
3/1/2023,71,213,110,46
3/2/2023,73,220,104,48
3/3/2023,56,263,79,52
3/4/2023,47,241,101,39
3/5/2023,95,245,111,51
3/6/2023,35,330,71,54
3/7/2023,77,256,100,65
3/8/2023,78,209,87,53
3/9/2023,49,229,77,92
3/10/2023,82,240,104,56
3/11/2023,69,269,106,39
3/12/2023,58,200,110,49
3/13/2023,70,305,112,54
3/14/2023,55,180,104,33
3/15/2023,65,227,87,48
3/16/2023,84,256,121,57
3/17/2023,84,204,103,61
3/18/2023,82,218,86,78
3/19/2023,70,223,112,56
3/20/2023,91,211,98,58
3/21/2023,73,222,115,53
3/22/2023,81,262,69,56
3/23/2023,59,236,103,63
3/24/2023,53,229,88,66
3/25/2023,67,210,77,54
3/26/2023,76,305,156,50
3/27/2023,57,247,90,78
3/28/2023,83,228,129,77
3/29/2023,97,278,97,93
3/30/2023,61,201,80,68
3/31/2023,102,246,92,38
4/1/2023,105,255,152,53
4/2/2023,85,229,151,52
4/3/2023,96,220,119,63
4/4/2023,52,245,87,70
4/5/2023,54,252,61,73
4/6/2023,89,287,117,51
4/7/2023,93,192,81,41
4/8/2023,79,237,67,81
4/9/2023,63,254,98,55
4/10/2023,90,214,80,67
4/11/2023,58,231,98,31
4/12/2023,104,243,111,68
4/13/2023,74,269,93,81
4/14/2023,98,203,110,74
4/15/2023,54,243,91,57
4/16/2023,58,226,96,42
4/17/2023,56,251,89,37
4/18/2023,70,217,119,49
4/19/2023,63,281,98,38
4/20/2023,47,246,135,36
4/21/2023,80,185,72,61
4/22/2023,44,283,64,32
4/23/2023,69,260,77,54
4/24/2023,53,242,80,75
4/25/2023,74,264,103,51
4/26/2023,47,272,89,34
4/27/2023,72,261,86,34
4/28/2023,81,257,98,42
4/29/2023,69,208,112,39
4/30/2023,50,293,91,51
5/1/2023,60,253,88,69
5/2/2023,107,300,94,75
5/3/2023,88,227,124,77
5/4/2023,63,184,80,46
5/5/2023,44,339,77,48
5/6/2023,91,239,122,34
5/7/2023,68,285,89,54
5/8/2023,50,286,66,53
5/9/2023,77,259,84,58
5/10/2023,56,243,97,45
5/11/2023,70,220,108,62
5/12/2023,84,223,136,50
5/13/2023,62,244,117,36
5/14/2023,88,198,93,45
5/15/2023,65,176,87,28
5/16/2023,94,337,134,62
5/17/2023,106,220,117,52
5/18/2023,109,247,103,105
5/19/2023,69,269,117,51
5/20/2023,66,235,104,26
5/21/2023,79,264,128,43
5/22/2023,102,225,113,34
5/23/2023,79,241,131,42
5/24/2023,73,192,120,35
5/25/2023,90,207,122,31
5/26/2023,83,295,123,53
5/27/2023,67,282,107,81
5/28/2023,59,259,118,26
5/29/2023,111,255,104,77
5/30/2023,36,325,75,53
5/31/2023,40,317,124,38
6/1/2023,69,208,126,53
6/2/2023,79,235,109,82
6/3/2023,59,254,103,43
6/4/2023,41,264,130,59
6/5/2023,65,278,91,43
6/6/2023,68,228,135,42
6/7/2023,77,259,129,34
6/8/2023,66,280,127,32
6/9/2023,79,234,125,32
6/10/2023,54,259,108,38
6/11/2023,34,348,71,58
6/12/2023,80,265,98,38
6/13/2023,70,237,134,38
6/14/2023,51,309,84,50
6/15/2023,65,293,126,47
6/16/2023,44,328,122,36
6/17/2023,43,299,131,54
6/18/2023,97,279,103,51
